Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Choice_7;Choice_8;Choice_9
Анализ текстов;Визуализация данных;Python;Статистика;;;;;
Электронные таблицы;Визуализация данных;Статистика;Анализ текстов;;;;;
Машинное обучение;Визуализация данных;Электронные таблицы;;;;;;
Статистика;Обработка изображений;Визуализация данных;;;;;;
;;;;;;;;
Big Data;Методы искусственного интеллекта;;;;;;;
Методы искусственного интеллекта;Python;Анализ текстов;Машинное обучение;Big Data;Визуализация данных;Обработка изображений;;
Big Data;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Машинное обучение;Визуализация данных;Электронные таблицы
Машинное обучение;Big Data;Визуализация данных;Python;;;;;
Big Data;Электронные таблицы;Статистика;;;;;;
;;;;;;;;
Электронные таблицы;Визуализация данных;;;;;;;
Визуализация данных;Обработка изображений;Методы искусственного интеллекта;;;;;;
;;;;;;;;
Статистика;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Python;Машинное обучение;Big Data;Визуализация данных;
Python;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Машинное обучение;Big Data;Визуализация данных;;
Статистика;Визуализация данных;;;;;;;
Машинное обучение;Статистика;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;Python
Визуализация данных;Анализ текстов;Машинное обучение;Электронные таблицы;Python;Методы искусственного интеллекта;Обработка изображений;;
Обработка изображений;;;;;;;;
Методы искусственного интеллекта;Обработка изображений;Big Data;Анализ текстов;;;;;
Статистика;Визуализация данных;Электронные таблицы;;;;;;
;;;;;;;;
Визуализация данных;Big Data;Машинное обучение;Python;Методы искусственного интеллекта;Статистика;;;
;;;;;;;;
Электронные таблицы;Статистика;Big Data;;;;;;
Python;Статистика;Визуализация данных;Машинное обучение;Анализ текстов;Методы искусственного интеллекта;;;
Обработка изображений;Методы искусственного интеллекта;Статистика;Big Data;Визуализация данных;Электронные таблицы;Анализ текстов;;
Обработка изображений;Анализ текстов;Обработка изображений;;;;;;
Big Data;Электронные таблицы;Методы искусственного интеллекта;Машинное обучение;;;;;
Big Data;Статистика;Машинное обучение;Визуализация данных;Электронные таблицы;;;;
Визуализация данных;Машинное обучение;Python;Статистика;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;Электронные таблицы;Big Data
Визуализация данных;Электронные таблицы;Python;Методы искусственного интеллекта;;;;;
;;;;;;;;
Обработка изображений;Машинное обучение;Методы искусственного интеллекта;;;;;;
Анализ текстов;Электронные таблицы;Обработка изображений;;;;;;
Визуализация данных;;;;;;;;
Ничего из перечисленного;;;;;;;;
;;;;;;;;
Big Data;Анализ текстов;Методы искусственного интеллекта;Обработка изображений;Визуализация данных;;;;
Обработка изображений;Электронные таблицы;Визуализация данных;Big Data;Анализ текстов;;;;
Электронные таблицы;Машинное обучение;;;;;;;
;;;;;;;;
Методы искусственного интеллекта;Статистика;Машинное обучение;Python;Визуализация данных;Обработка изображений;;;
Электронные таблицы;;;;;;;;
Методы искусственного интеллекта;Визуализация данных;Big Data;Машинное обучение;;;;;
Обработка изображений;Анализ текстов;Методы искусственного интеллекта;Статистика;Электронные таблицы;;;;
;;;;;;;;
;;;;;;;;
Машинное обучение;Python;;;;;;;
Электронные таблицы;Анализ текстов;Статистика;Визуализация данных;Big Data;;;;
Python;Big Data;Машинное обучение;Статистика;Методы искусственного интеллекта;;;;
Big Data;Python;Методы искусственного интеллекта;Обработка изображений;Электронные таблицы;;;;
;;;;;;;;
Статистика;Электронные таблицы;;;;;;;
Обработка изображений;;;;;;;;
Визуализация данных;Электронные таблицы;;;;;;;
Big Data;Машинное обучение;Python;Методы искусственного интеллекта;;;;;
;;;;;;;;
Машинное обучение;Статистика;Анализ текстов;Big Data;Визуализация данных;Электронные таблицы;Методы искусственного интеллекта;Обработка изображений;Python
Big Data;Python;;;;;;;
Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Статистика;Анализ текстов;;
Статистика;Электронные таблицы;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;Визуализация данных;;;
Обработка изображений;Методы искусственного интеллекта;Визуализация данных;Анализ текстов;;;;;
Электронные таблицы;Анализ текстов;Big Data;Статистика;;;;;
Обработка изображений;;;;;;;;
Машинное обучение;Python;Big Data;Методы искусственного интеллекта;Визуализация данных;;;;
Статистика;Машинное обучение;Обработка изображений;Big Data;Визуализация данных;Python;;;
Анализ текстов;Машинное обучение;Python;Методы искусственного интеллекта;Обработка изображений;;;;
;;;;;;;;
Статистика;Методы искусственного интеллекта;Big Data;Визуализация данных;Электронные таблицы;;;;
Статистика;Машинное обучение;Big Data;;;;;;
Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Статистика;Анализ текстов;;;;
Статистика;Python;Анализ текстов;Big Data;Визуализация данных;;;;
Методы искусственного интеллекта;Python;Визуализация данных;Машинное обучение;;;;;
Методы искусственного интеллекта;Python;Визуализация данных;Электронные таблицы;Анализ текстов;;;;
Python;;;;;;;;
Python;Анализ текстов;Обработка изображений;Электронные таблицы;Визуализация данных;Методы искусственного интеллекта;Big Data;Машинное обучение;Статистика
Машинное обучение;Big Data;Визуализация данных;Методы искусственного интеллекта;Статистика;Python;;;
;;;;;;;;
Анализ текстов;Визуализация данных;Big Data;Статистика;;;;;
Визуализация данных;Статистика;Python;Обработка изображений;Анализ текстов;Методы искусственного интеллекта;Электронные таблицы;Big Data;Машинное обучение
Python;;;;;;;;
Электронные таблицы;Python;Big Data;;;;;;
Обработка изображений;Визуализация данных;Машинное обучение;Анализ текстов;;;;;
Статистика;Big Data;Визуализация данных;Электронные таблицы;Python;;;;
Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Python;Статистика;Методы искусственного интеллекта;Обработка изображений
Big Data;Python;Машинное обучение;Статистика;;;;;
Статистика;Электронные таблицы;Обработка изображений;Анализ текстов;Методы искусственного интеллекта;Визуализация данных;Машинное обучение;;
;;;;;;;;
Обработка изображений;Электронные таблицы;Визуализация данных;Машинное обучение;Python;Статистика;Методы искусственного интеллекта;Анализ текстов;
Электронные таблицы;Визуализация данных;Big Data;Статистика;Методы искусственного интеллекта;Анализ текстов;;;
Визуализация данных;Машинное обучение;Big Data;Методы искусственного интеллекта;Электронные таблицы;;;;
;;;;;;;;
Анализ текстов;Статистика;Big Data;Визуализация данных;Электронные таблицы;;;;
Машинное обучение;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;;;
Обработка изображений;Методы искусственного интеллекта;Анализ текстов;Машинное обучение;;;;;
Python;Методы искусственного интеллекта;Машинное обучение;;;;;;
Big Data;Визуализация данных;Обработка изображений;;;;;;
Визуализация данных;Обработка изображений;Анализ текстов;Электронные таблицы;Статистика;Машинное обучение;;;
;;;;;;;;
Python;Статистика;Обработка изображений;Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;;
Big Data;Машинное обучение;Электронные таблицы;Методы искусственного интеллекта;;;;;
;;;;;;;;
Визуализация данных;Машинное обучение;Python;;;;;;
Электронные таблицы;Машинное обучение;Статистика;;;;;;
Статистика;Big Data;Электронные таблицы;Визуализация данных;;;;;
Машинное обучение;Визуализация данных;Методы искусственного интеллекта;Обработка изображений;Python;Статистика;Big Data;;
;;;;;;;;
;;;;;;;;
Big Data;Анализ текстов;Методы искусственного интеллекта;Статистика;Визуализация данных;;;;
Визуализация данных;Машинное обучение;Python;Методы искусственного интеллекта;Big Data;;;;
Визуализация данных;Обработка изображений;Машинное обучение;Big Data;;;;;
Анализ текстов;Машинное обучение;Методы искусственного интеллекта;Обработка изображений;Python;Big Data;Визуализация данных;Электронные таблицы;Статистика
;;;;;;;;
Python;Визуализация данных;Электронные таблицы;;;;;;
Визуализация данных;Электронные таблицы;Python;Статистика;Методы искусственного интеллекта;Машинное обучение;Big Data;;
Big Data;Визуализация данных;Машинное обучение;Python;Методы искусственного интеллекта;;;;
Методы искусственного интеллекта;Машинное обучение;;;;;;;
;;;;;;;;
Методы искусственного интеллекта;Визуализация данных;Python;;;;;;
;;;;;;;;
Визуализация данных;;;;;;;;
;;;;;;;;
Обработка изображений;Анализ текстов;Визуализация данных;Электронные таблицы;;;;;
Ничего из перечисленного;;;;;;;;
Статистика;;;;;;;;
Машинное обучение;Python;Статистика;Анализ текстов;Визуализация данных;;;;
;;;;;;;;
Big Data;Машинное обучение;Анализ текстов;Визуализация данных;;;;;
Визуализация данных;Электронные таблицы;Статистика;;;;;;
;;;;;;;;
Big Data;Визуализация данных;Машинное обучение;Python;Методы искусственного интеллекта;Обработка изображений;;;
Методы искусственного интеллекта;Электронные таблицы;Статистика;Python;Big Data;Визуализация данных;;;
Методы искусственного интеллекта;Big Data;Визуализация данных;;;;;;
Python;Машинное обучение;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;;;;
Статистика;Визуализация данных;Big Data;Машинное обучение;Python;Методы искусственного интеллекта;Электронные таблицы;;
Методы искусственного интеллекта;Машинное обучение;Визуализация данных;Обработка изображений;;;;;
Python;Статистика;;;;;;;
;;;;;;;;
Big Data;Электронные таблицы;Методы искусственного интеллекта;Статистика;Python;Машинное обучение;;;
Анализ текстов;Big Data;Электронные таблицы;Обработка изображений;Статистика;Визуализация данных;;;
;;;;;;;;
Python;Машинное обучение;Обработка изображений;Визуализация данных;Big Data;Методы искусственного интеллекта;Статистика;;
Машинное обучение;Big Data;Электронные таблицы;Статистика;;;;;
Визуализация данных;;;;;;;;
Визуализация данных;Статистика;Методы искусственного интеллекта;;;;;;
Визуализация данных;Big Data;Анализ текстов;Машинное обучение;Методы искусственного интеллекта;Python;;;
;;;;;;;;
Визуализация данных;Статистика;Электронные таблицы;;;;;;
Big Data;Методы искусственного интеллекта;Статистика;Визуализация данных;;;;;
Электронные таблицы;Визуализация данных;Методы искусственного интеллекта;Python;Статистика;Big Data;Машинное обучение;;
;;;;;;;;
Статистика;Анализ текстов;Машинное обучение;Визуализация данных;;;;;
Статистика;;;;;;;;
Машинное обучение;Обработка изображений;Методы искусственного интеллекта;Python;;;;;
Ничего из перечисленного;;;;;;;;
Методы искусственного интеллекта;;;;;;;;
Статистика;Обработка изображений;;;;;;;
Обработка изображений;Анализ текстов;Машинное обучение;;;;;;
Анализ текстов;Python;Машинное обучение;Big Data;Визуализация данных;Электронные таблицы;Статистика;Методы искусственного интеллекта;Обработка изображений
Визуализация данных;Методы искусственного интеллекта;Python;Машинное обучение;Статистика;;;;
;;;;;;;;
;;;;;;;;
Статистика;Big Data;Методы искусственного интеллекта;;;;;;
Обработка изображений;Визуализация данных;Машинное обучение;Статистика;Методы искусственного интеллекта;Python;;;
Статистика;Python;Методы искусственного интеллекта;Визуализация данных;Big Data;Машинное обучение;;;
Статистика;Python;Машинное обучение;Big Data;Визуализация данных;Обработка изображений;Методы искусственного интеллекта;;
Электронные таблицы;Статистика;Методы искусственного интеллекта;Анализ текстов;;;;;
Методы искусственного интеллекта;Машинное обучение;;;;;;;
Статистика;Обработка изображений;Анализ текстов;Электронные таблицы;Визуализация данных;Машинное обучение;Python;;
Визуализация данных;Big Data;Python;Машинное обучение;;;;;
Статистика;Электронные таблицы;Визуализация данных;Обработка изображений;Анализ текстов;;;;
Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Python;Машинное обучение;Визуализация данных;Электронные таблицы;;
Визуализация данных;Электронные таблицы;Big Data;Анализ текстов;Обработка изображений;Машинное обучение;Python;Методы искусственного интеллекта;Статистика
Python;Статистика;Обработка изображений;Анализ текстов;Электронные таблицы;;;;
Обработка изображений;Python;Электронные таблицы;Визуализация данных;Статистика;;;;
Статистика;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Python;Методы искусственного интеллекта;Анализ текстов;
Визуализация данных;Электронные таблицы;Python;Статистика;Big Data;;;;
Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Python;Статистика;;
Электронные таблицы;Визуализация данных;Методы искусственного интеллекта;Анализ текстов;;;;;
Статистика;Анализ текстов;Визуализация данных;Электронные таблицы;;;;;
Python;;;;;;;;
Статистика;Электронные таблицы;Визуализация данных;Python;;;;;
;;;;;;;;
Статистика;Визуализация данных;Электронные таблицы;Машинное обучение;Анализ текстов;;;;
Электронные таблицы;Big Data;Методы искусственного интеллекта;Статистика;;;;;
;;;;;;;;
Python;Анализ текстов;Обработка изображений;Визуализация данных;Методы искусственного интеллекта;Электронные таблицы;Статистика;;
Статистика;Анализ текстов;Python;;;;;;
Машинное обучение;Big Data;Python;Статистика;Методы искусственного интеллекта;Обработка изображений;;;
Визуализация данных;Анализ текстов;Методы искусственного интеллекта;Python;Машинное обучение;Big Data;;;
Обработка изображений;Визуализация данных;Электронные таблицы;;;;;;
Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Python;Статистика;Обработка изображений;Анализ текстов
;;;;;;;;
Обработка изображений;Анализ текстов;Big Data;Визуализация данных;Методы искусственного интеллекта;Статистика;Машинное обучение;;
;;;;;;;;
Визуализация данных;Big Data;Машинное обучение;Python;Методы искусственного интеллекта;;;;
Визуализация данных;Анализ текстов;Big Data;Электронные таблицы;Статистика;;;;
Методы искусственного интеллекта;Анализ текстов;Статистика;;;;;;
Статистика;Машинное обучение;Python;Визуализация данных;;;;;
Визуализация данных;Электронные таблицы;;;;;;;
Big Data;Визуализация данных;Методы искусственного интеллекта;Электронные таблицы;Статистика;Python;Машинное обучение;;
Методы искусственного интеллекта;Анализ текстов;Обработка изображений;Python;Big Data;Машинное обучение;;;
Big Data;Статистика;Python;Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;Машинное обучение;;
Машинное обучение;Python;Визуализация данных;;;;;;
Визуализация данных;;;;;;;;
Машинное обучение;Python;Методы искусственного интеллекта;Big Data;Статистика;;;;
Python;Big Data;Методы искусственного интеллекта;Электронные таблицы;Статистика;;;;
Машинное обучение;Python;Статистика;Обработка изображений;Анализ текстов;;;;
;;;;;;;;
Машинное обучение;;;;;;;;
;;;;;;;;
Ничего из перечисленного;;;;;;;;
Электронные таблицы;Машинное обучение;Методы искусственного интеллекта;Статистика;Python;;;;
Машинное обучение;Методы искусственного интеллекта;Обработка изображений;Python;Статистика;Big Data;;;
;;;;;;;;
Статистика;Электронные таблицы;Анализ текстов;;;;;;
Обработка изображений;Методы искусственного интеллекта;Визуализация данных;Машинное обучение;Статистика;;;;
Электронные таблицы;Big Data;Машинное обучение;;;;;;
Методы искусственного интеллекта;Python;Визуализация данных;;;;;;
Визуализация данных;Big Data;Машинное обучение;Статистика;Методы искусственного интеллекта;Анализ текстов;;;
Электронные таблицы;Визуализация данных;Big Data;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Машинное обучение
Статистика;Python;Электронные таблицы;;;;;;
Электронные таблицы;Анализ текстов;;;;;;;
Машинное обучение;Методы искусственного интеллекта;Электронные таблицы;Визуализация данных;;;;;
Машинное обучение;;;;;;;;
Методы искусственного интеллекта;Визуализация данных;Python;Обработка изображений;;;;;
Визуализация данных;Python;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;;;;
Визуализация данных;;;;;;;;
Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Python;Машинное обучение;Визуализация данных;;;
Статистика;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;;;;
Статистика;Электронные таблицы;Визуализация данных;Анализ текстов;;;;;
Электронные таблицы;Анализ текстов;Статистика;Визуализация данных;;;;;
;;;;;;;;
Big Data;Машинное обучение;Python;Статистика;Анализ текстов;Электронные таблицы;Визуализация данных;;
;;;;;;;;
Методы искусственного интеллекта;Машинное обучение;Python;Обработка изображений;;;;;
Big Data;Машинное обучение;Python;Методы искусственного интеллекта;Анализ текстов;;;;
Визуализация данных;Методы искусственного интеллекта;Статистика;Python;Big Data;;;;
Электронные таблицы;;;;;;;;
Статистика;Анализ текстов;Обработка изображений;Big Data;Визуализация данных;Электронные таблицы;;;
Визуализация данных;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Машинное обучение;Big Data;
;;;;;;;;
Электронные таблицы;Визуализация данных;Статистика;;;;;;
Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Статистика;Методы искусственного интеллекта;Обработка изображений;
Машинное обучение;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;;;;;
Big Data;Методы искусственного интеллекта;Визуализация данных;;;;;;
Электронные таблицы;;;;;;;;
Big Data;Электронные таблицы;Визуализация данных;Машинное обучение;Python;Статистика;Методы искусственного интеллекта;Обработка изображений;Анализ текстов
Анализ текстов;Электронные таблицы;Статистика;;;;;;
;;;;;;;;
;;;;;;;;
Анализ текстов;;;;;;;;
Статистика;Обработка изображений;Электронные таблицы;Визуализация данных;;;;;
Анализ текстов;Методы искусственного интеллекта;Статистика;Big Data;Визуализация данных;Электронные таблицы;;;
Электронные таблицы;Статистика;Визуализация данных;;;;;;
Python;Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;Машинное обучение;Статистика;;
Python;Машинное обучение;Big Data;Электронные таблицы;Методы искусственного интеллекта;Визуализация данных;Обработка изображений;Анализ текстов;Статистика
Big Data;Методы искусственного интеллекта;Python;;;;;;
;;;;;;;;
Python;Big Data;Визуализация данных;;;;;;
Машинное обучение;Анализ текстов;Статистика;;;;;;
Big Data;;;;;;;;
Ничего из перечисленного;;;;;;;;
;;;;;;;;
Обработка изображений;Анализ текстов;Методы искусственного интеллекта;Статистика;Визуализация данных;;;;
Методы искусственного интеллекта;;;;;;;;
Ничего из перечисленного;;;;;;;;
Визуализация данных;Электронные таблицы;Статистика;Обработка изображений;Анализ текстов;;;;
Ничего из перечисленного;;;;;;;;
Python;Методы искусственного интеллекта;Обработка изображений;Машинное обучение;;;;;
Машинное обучение;Python;Методы искусственного интеллекта;Обработка изображений;Визуализация данных;;;;
Машинное обучение;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Электронные таблицы;Визуализация данных;Big Data;Python
Big Data;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Машинное обучение;Визуализация данных;Электронные таблицы
Статистика;Визуализация данных;Big Data;Обработка изображений;Машинное обучение;Анализ текстов;Python;;
Машинное обучение;Электронные таблицы;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Визуализация данных;;
Статистика;Обработка изображений;Визуализация данных;;;;;;
Визуализация данных;Статистика;;;;;;;
Анализ текстов;Методы искусственного интеллекта;Статистика;Электронные таблицы;;;;;
Статистика;Машинное обучение;Обработка изображений;Анализ текстов;Big Data;Электронные таблицы;;;
;;;;;;;;
Методы искусственного интеллекта;Big Data;Python;Статистика;Машинное обучение;;;;
Анализ текстов;Методы искусственного интеллекта;Электронные таблицы;Машинное обучение;Python;;;;
Обработка изображений;Визуализация данных;Электронные таблицы;;;;;;
Ничего из перечисленного;;;;;;;;
Электронные таблицы;Анализ текстов;Big Data;;;;;;
Машинное обучение;Методы искусственного интеллекта;Big Data;Визуализация данных;;;;;
Визуализация данных;Обработка изображений;Электронные таблицы;Статистика;Машинное обучение;;;;
;;;;;;;;
Визуализация данных;;;;;;;;
Big Data;Электронные таблицы;;;;;;;
